,Category,Correct,OptionA,OptionB,OptionC,OptionD,Questions
198,2.1,a, Weariness, Night, Health, Dream," Direction: In each of the following questions, select the related word from the given alternatives. Food : Hunger : : Sleep : ? "
199,2.1,d, Wife, Man, Child, Woman," Direction: In each of the following questions, select the related word from the given alternatives. Sapling : Tree : : Girl : ? "
200,2.1,b, Knife, Kitchen, Food, Cook," Direction: In each of the following questions, select the related word from the given alternatives. Doctor : Hospital : : Chef : ? "
201,2.1,b, Bark, Seed, Leaves, Fruit," Direction: In each of the following questions, select the related word from the given alternatives. Hen : Egg : : Tree : ? "
202,2.1,c, Blade, Head, Razor, Knife," Direction: In each of the following questions, select the related word from the given alternatives. Nail Cutter : Nail : : Gillet : ? "
203,2.1,d, Novel, Glass, Cover, Page," Direction: In each of the following questions, select the related word from the given alternatives. Window : Pane : : Book : ? "
204,2.1,d,Curtain, Bedspread, Tiles, Carpet," Direction: In each of the following questions, select the related word from the given alternatives. Cot : Mattress : : Floor : ? "
205,2.1,b, Cholesterol, Diabetes, Sweet, DehydrationQ207.," Direction: In each of the following questions, select the related word from the given alternatives. Salt : Hypertension : : Sugar : ? "
206,2.1,c,Dusk,Evening, Twilight, Morning," Direction: In each of the following questions, select the related word from the given alternatives. Prologue : Epilogue : : Dawn : ? "
207,2.1,c, Typewriting, Call-history, Hand writing, Video call," Direction: In each of the following questions, select the related word from the given alternatives. Histogram : Bar Chart : : Calligraphy : ? "
208,2.1,d, Lip, Tongue, Vein, Tooth," Direction: In each of the following questions, select the related word from the given alternatives. Temple : Ear ; Shoulder : Hand : Gum : ? "
209,2.1,c, He-elephant, Mongoose, Dog, Wolf," Direction: In each of the following questions, select the related word from the given alternatives. Pea-hen : Pea-cock : : Bitch : ? "
210,2.1,c,Karnataka,Tamil Nadu,Kerala,Andhra Pradesh," Direction: In each of the following questions, select the related word from the given alternatives. Manipuri : Manipur : : Kathakali : ? "
211,2.1,a, Disciple,Follower, Priest,Deity," Direction: In each of the following questions, select the related word from the given alternatives. Teacher : Student : : Pontiff : ? "
212,2.1,d, Roar,Talk, Hiss,Hoot," Direction: In each of the following questions, select the related word from the given alternatives. Bees : Hum : : Owls : ? "
213,2.1,c, Callow, Incredible, Bankrupt, Knot," Direction: In each of the following questions, select the related word from the given alternatives. Confirmed : Inveterate : : Financial : ? "
214,2.1,a, Pen, Chair, Godown, Office," Direction: In each of the following questions, select the related word from the given alternatives. Furniture : Bench : : Stationery : ? "
215,2.1,c, Solid gold, Black gold, Liquid gold, White gold," Direction: In each of the following questions, select the related word from the given alternatives. Coal : Black diamond : : Petroleum : ? "
216,2.1,d, Camera, Film, Negative, Frame," Direction: In each of the following questions, select the related word from the given alternatives. Poster : Wall : : Photograph : ? "
217,2.1,b, tpis, tips, tsip, tpsi," Direction: In each of the following questions, select the related word from the given alternatives. Tide : edit : : spit : ? "
218,2.1,c, Statistics, Commerce, Facts, Science," Direction: In each of the following questions, select the related word from the given alternatives. Poet : Imagination : : Historian : ? "
219,2.1,c, Artistic, Scientific, Productive, Repetitive," Direction: In each of the following questions, select the related word from the given alternatives. Gifted : Intelligent : : Creative : ? "
220,2.3,b,Cone : Sphere,Rectangle : Octagon,Pentagon : Heptagon,Angle : Quadrilateral," Direction: In each of the following questions, select the related word from the given alternatives. Triangle : Hexagon : : ? "
221,2.1,d,Delivery,Bicycle, Uniform,Mail," Direction: In each of the following questions, select the related word from the given alternatives. Student : Book : : Postman : ? "
222,2.1,b,Well,Rain, Dam,River," Direction: In each of the following questions, select the related word from the given alternatives. Illiteracy : Education : : Drought : ? "
223,2.3,c,Book : Author,Magazine : Editor,Cook : Soup,Dam : Engineer," Direction: In each of the following questions, select the related word from the given alternatives. Carpenter : Furniture : : ? "
224,2.1,d,Tanin, Novocaine, Alexin, Nicotin," Direction: In each of the following questions, select the related word from the given alternatives. Coffee : Coffeine : : Tobacco : ? "
225,2.3,c,Interior : Remote,Forbear : Patience,Interested : Indifference,Popular : Friendly," Direction: In each of the following questions, select the related word from the given alternatives. INTIMATE : UNFAMILIAR : : ? "
226,2.1,c, Sweet, Taste, Juice, Bunch," Direction: In each of the following questions, select the related word from the given alternatives. Coconut : Oil : : Fruit : ? "
227,2.1,a, Fresco, Colours, Art, Leonardo," Direction: In each of the following questions, select the related word from the given alternatives. Symphony : Composer : : Painter : ? "
228,2.1,c, Quill, Feather,Beak, Spine," Direction: In each of the following questions, select the related word from the given alternatives. Elephant : Tusk : : Parrot :? "
229,2.1,b,Chickenpox,Typhoid,Malaria,Sleeping sickness," Direction: In each of the following questions, select the related word from the given alternatives. Virus : Smallpox : : Bacteria : ? "
230,2.1,c, Root,Soil, Leaf,Stem," Direction: In each of the following questions, select the related word from the given alternatives. Home : Kitchen : : Plant : ? "
231,2.1,c, Hanger,Cupboard,Wardrobe,Bureau," Direction: In each of the following questions, select the related word from the given alternatives. Book : Shelf : : Clothes : ? "
232,2.1,c, T.V., Recording, Cassette, Camera," Direction: In each of the following questions, select the related word from the given alternatives. Gramophone : Record : : Video : ? "
233,2.1,d, trim, draw, plough, knit," Direction: In each of the following questions, select the related word from the given alternatives. Axe : Chop : : Needle : ? "
234,2.1,b, Gill, Scale, Tail, Fin," Direction: In each of the following questions, select the related word from the given alternatives. Bird : Feather : : Fish : ? "
235,2.1,c, Personality, Motive, Success, Probability," Direction: In each of the following questions, select the related word from the given alternatives. Arousal : Need : : Effort : ? "
236,2.1,b, Petrol, Liquid, Diesel, Kerosene," Direction: In each of the following questions, select the related word from the given alternatives. Wheat : Cereal : : Water : ? "
237,2.1,b, Deep, Front, Right, Left," Direction: In each of the following questions, select the related word from the given alternatives. Up : Down : : Back : ? "
238,2.1,c, Geometry, Science, Earth, Sky," Direction: In each of the following questions, select the related word from the given alternatives. Astronomy : Stars : : Geology : ? "
239,2.1,c, WEIGHT, HEAT, WATER, LIGHT," Direction: In each of the following questions, select the related word from the given alternatives. FATIGUE : REST : : DEHYDRATE : ? "
240,2.1,b, CLOTH, SHIRT, MERCHANT, STITCHING s," Direction: In each of the following questions, select the related word from the given alternatives. AUTHOR : BOOK : TAILOR : ? "
241,2.1,b, STRETCH, RIGID, EXPAND, WIDEN," Direction: In each of the following questions, select the related word from the given alternatives. REPEL : ATTRACT : ELASTIC : ? "
242,2.3,b,Legislator : election,Moderator : debate,Prodigy : wonder,Chef : banquet," Direction: In each of the following questions, select the related word from the given alternatives. UMPIRE : GAME : : ? "
243,2.1,a, Chime,Rustle, Roar,Beat," Direction: In each of the following questions, select the related word from the given alternatives. Horse : Neigh : : Bells : ? "
244,2.1,b, Files,Floppy, Bits,Adit," Direction: In each of the following questions, select the related word from the given alternatives. Video : Cassette : : Computer : ? "
245,2.1,b,Earthquake,Blood Pressure,Atmospheric Pressure,Specific Gravity," Direction: In each of the following questions, select the related word from the given alternatives. Glucometer : Blood Sugar : : Sphygmomanometer : ? "
246,2.1,b, Plant, Botany, Zoology, Physiology," Direction: In each of the following questions, select the related word from the given alternatives. Behaviour : Psychology : : Plant : ? "
247,2.1,a,Inheritance,Reproduction,Locomotion,Immunity," Direction: In each of the following questions, select the related word from the given alternatives.Mitochondria : Energy : : DNA : ? "
248,2.1,a,El-Nino, Whale, Blizzard, Hail," Direction: In each of the following questions, select the related word from the given alternatives. Desert : Mirage : : Ocean : ? "
249,2.1,a,Gardener, Mason, Blacksmith, Guard," Direction: In each of the following questions, select the related word from the given alternatives. Chisel : Sculptor : : Harrow : ? "
250,2.1,b,Sun, Planet, Solar system, Round," Direction: In each of the following questions, select the related word from the given alternatives. Moon : Satellite : : Earth : ? "
251,2.1,b,Knowledge, Number, Height, Formulas," Direction: In each of the following questions, select the related word from the given alternatives. Psychology : Mind : : Arithmetic : ? "
252,2.1,c,Weight, Jungle, Gravitation, Sea," Direction: In each of the following questions, select the related word from the given alternatives. Ice : Coldness : : Earth : ? "
253,2.1,d,Doctors,Patients, Medicine,Hospitals," Direction: In each of the following questions, select the related word from the given alternatives. Teacher : School : : Nurse : ? "
254,2.1,a,Sculptor,Mason, Blacksmith,Goldsmith," Direction: In each of the following questions, select the related word from the given alternatives. Window : Carpenter : : Statue : ? "
255,2.1,c, Pyorrhea,Sinusitis, Eczema,Trachoma," Direction: In each of the following questions, select the related word from the given alternatives. Eye : Cataract : : Skin : ? "
256,2.1,d, Meat,Fish, Egg,Orange," Direction: In each of the following questions, select the related word from the given alternatives. Vitamin A : Carrot : : Vitamin C : ? "
257,2.1,c, Orange,Potato, Oats,Apple," Direction: In each of the following questions, select the related word from the given alternatives. Wine : Grape : : Whiskey : ? "
258,2.1,a, Infer,Protect, Delate,Oppose," Direction: In each of the following questions, select the related word from the given alternatives. Defer : Put off : : Deduce : ? "
259,2.1,c, Heart,Lungs, Nose,Mouth," Direction: In each of the following questions, select the related word from the given alternatives. Fish : Gills : : Human : ? "
260,2.1,a, Saddle,Chair, Horse,Seat," Direction: In each of the following questions, select the related word from the given alternatives. King : Throne : : Rider : ? "
261,2.1,c, Machinery, Bombs, Fireworks, Wool,"Direction: In each of the following questions, select the related word from the given alternatives. Tanning : Leather : : Pyrotechnics : ? "
262,2.1,a, Defeat, Depression, Melancholy, Cry," Direction: In each of the following questions, select the related word from the given alternatives. Victory : Joy : : ? : Sorrow "
263,2.1,b, Cash,Book, Headmaster, School," Direction: In each of the following questions, select the related word from the given alternatives. Body : Stomach : : Library : ? "
264,2.1,d,Vinoba Bhave,R.N. Pachauri,Pattabhi Sitarmaiah,Medha Patkar," Direction: In each of the following questions, select the related word from the given alternatives. Chipko Movement : Sundarlal Bahuguna : : Narmada Bachao Andolan : ? "
265,2.1,a, Cotton, Coffee, Tea, Wheat," Direction: In each of the following questions, select the related word from the given alternatives. Hooghly : Jute : : Ahmedabad : ? "
266,2.1,b,Production,Economy,Cultivation,Industrialisation," Direction: In each of the following questions, select the related word from the given alternatives. Rain : Agriculture : : Market : ? "
267,2.1,c, Customer, Consumer, Client,Claimant," Direction: In each of the following questions, select the related word from the given alternatives. Teacher : Student : : Lawyer : ? "
268,2.1,c, Trees, Fragrance, Flower, Rose," Direction: In each of the following questions, select the related word from the given alternatives. Mango : Fruit : : Jasmin : ? "
269,2.1,b, Wood,Furniture, Leather,Cloth," Direction: In each of the following questions, select the related word from the given alternatives. Dress : Tailor : : ? : Carpenter "
270,2.1,a, Bullet,Gun, Shoot,Rifle," Direction: In each of the following questions, select the related word from the given alternatives. Bow : Arrow : : Pistol : ? "
271,2.1,c, Leaf,Twig, Flower,Fruit," Direction: In each of the following questions, select the related word from the given alternatives. Plant : Seed : : ? : Bud "
272,2.1,a, Director, Player, Manager, Actor," Direction: In each of the following questions, select the related word from the given alternatives. Magazine : Editor : : Drama : ? "
273,2.1,d, Book, Atlas, Biography, Newspaper," Direction: In each of the following questions, select the related word from the given alternatives. Reference material : Dictionary : : Periodical : ?. "
274,2.1,c, Glass, Spoon, Bowl, Mug," Direction: In each of the following questions, select the related word from the given alternatives. Tea : Cup : : Soup :? "
275,2.1,c,meat,flesh,venison,veal," Direction: In each of the following questions, select the related word from the given alternatives. Sheep : mutton : : Deer :? "
276,2.1,a,Cloth,Shirt,Draper,Thread," Direction: In each of the following questions, select the related word from the given alternatives. Cobbler : Leather : : Tailor : ? "
277,2.1,a, Research, Knowledge, Spiritual, Rational," Direction: In each of the following questions, select the related word from the given alternatives. Saint : Meditation : : Scientist : ? "
278,2.1,d, Caravan, Asylum, Monastery, Igloo," Direction: In each of the following questions, select the related word from the given alternatives. King : Palace : : Eskimo : ? "
279,2.1,d,Pollution,Degradation,Dense,Deforestation," Direction: In each of the following questions, select the related word from the given alternatives. Soil : Erosion : : Forest : ? "
280,2.1,b, Road,Garage, Tyre,Brake," Direction: In each of the following questions, select the related word from the given alternatives. Plane : Hangar : : Car : ? "
281,2.1,b,Wool,Nylon,Silk,Jute," Direction: In each of the following questions, select the related word from the given alternatives. Natural : Artificial : : Cotton : ? "
282,2.1,c,Award, Recognition,Reward, Pride," Direction: In each of the following questions, select the related word from the given alternatives. Crime : Punishment : : Honesty : ? "
283,2.1,b, Legs, Movement, Limbs, Handicapped," Direction: In each of the following questions, select the related word from the given alternatives. Amnesia : Memory : : Paralysis : ? "
284,2.1,d, Beautiful, Useful, Simple, Feasible," Direction: In each of the following questions, select the related word from the given alternatives. Vigilant : Alert : : Viable : ? "
285,2.1,a, Terrified, Agitated, Courageous, Reckless," Direction: In each of the following questions, select the related word from the given alternatives. Embarrassed : Humiliated : : Frightened : ? "
286,2.1,a, Unharmful, Churlish, Filter,Ugly," Direction: In each of the following questions, select the related word from the given alternatives. Macabre : Lovely : : Baneful : ? "
287,2.1,b, Fossils, Stamps, Photography, Music," Direction: In each of the following questions, select the related word from the given alternatives. Demographer : People : : Philatelist : ? "
288,2.1,b,Foot : Ball,Tyre : Bicycle,Puppy : Dog,Sandals : Shoes," Direction: In each of the following questions, select the related word from the given alternatives. Sepal : Flower : : "
289,2.1,b, Mercury, Temperature, Fever, Doctor," Direction: In each of the following questions, select the related word from the given alternatives. Seismometer : Earthquakes : : Thermometer : ? "
290,2.1,c, Percussion, Symphony, Musician, Piano," Direction: In each of the following questions, select the related word from the given alternatives. Play : Actor : : Concert : ? "
291,2.1,c, Dollar, Lira, Dirham, Kroon.," Direction: In each of the following questions, select the related word from the given alternatives. Germany : Mark : : Morocco : ? "
292,2.1,d,Thrombocytes,Lymphocytes,Monocytes,Leucocytes," Direction: In each of the following questions, select the related word from the given alternatives. Red Blood Cells : Erythrocytes : : White Blood Cells : ? "
293,2.1,c, Apple, Aryabhata, Mangalyan, Bhaskara," Direction: In each of the following questions, select the related word from the given alternatives. Moon : Chandrayan : : Mars : ? "
294,2.1,d, Cage, Nest, Sky, Water," Direction: In each of the following questions, select the related word from the given alternatives. Lion : Forest : : Fish : ? "
295,2.1,b, Fungus, Bacteria, Virus, Insect," Direction: In each of the following questions, select the related word from the given alternatives. Polio : Virus : : Anthrax : ? "
296,2.1,c, Stem, Root, Branch, Flower," Direction: In each of the following questions, select the related word from the given alternatives. River : Tributary : : Tree : ? "
297,2.1,d, Canada, Mexico, Brazil, USA," Direction: In each of the following questions, select the related word from the given alternatives. Maharashtra : India : : Texas : ? "
298,2.1,b, Fresh, Sear, Sensible, Wet," Direction: In each of the following questions, select the related word from the given alternatives. Qualm : Nausea : : Burn : ? "
299,2.1,c,Endocrinologist,Orthodontist,Nephrologist,Neurologist," Direction: In each of the following questions, select the related word from the given alternatives. Heart : Cardiologist : : Kidney : ? "
300,2.1,c, Field, Laboratory, School, Industry," Direction: In each of the following questions, select the related word from the given alternatives. Doctor : Hospital : : Teacher : ? "
301,2.1,b,Dr. S. Radhakrishnan,Dr. Rajendra Prasad,Dr. Zakir Hussain,Dr. A.P.J. Abdul Kalam," Direction: In each of the following questions, select the related word from the given alternatives. 1st Prime Minister of India : Pt. Jawaharlal Nehru : : 1st President of India : ? "
302,2.1,a, March 8, June 26, April 22, November 4," Direction: In each of the following questions, select therelated word from the given alternatives. International Literacy Day : September 8 : : International Women’s Day : ? "
303,2.1,c, Sarod,Santoor, Shehnai,Flute," Direction: In each of the following questions, select the related word from the given alternatives. Ravishankar : Sitar : : Bismillah Khan : ? "
304,2.1,b, Apples,Kiwi, Grapes,Bananas," Direction: In each of the following questions, select the related word from the given alternatives. India : Mango : : New Zealand : ? "
305,2.1,d,"Christian, Muslim","Cashew, Rice","Jesus, Ramzan","Cake, Id-ul-Fitre"," Direction: In each of the following questions, select the related word from the given alternatives. Christmas : Biryani "
306,2.1,c,Ship, Travel, Giddiness, Motion," Direction: In each of the following questions, select the related word from the given alternatives. Voyage : Sea sickness : : Heights : ? "
307,2.3,c,Doctor : Nurse,Driver : School,Teacher : School,Actor : Role," Direction: In each of the following questions, select the related word from the given alternatives. Waitress : Restaurant : : ? "
308,2.1,d, Music, Tune, Chord, Key," Direction: In each of the following questions, select the related word from the given alternatives. String : Violin : : ?: Piano "
309,2.3,c,Box : Lid,Chair : Cushion,Cover : Book,Window : Screen," Direction: In each of the following questions, select the related word from the given alternatives. Frame : Picture : : ? "
310,2.1,b,Karnataka,Kerala,Jammu & Kashmir,Rajasthan," Direction: In each of the following questions, select the related word from the given alternatives. Bihu : Assam : : Onam : ? "
311,2.1,c,Brain,Ear,Lungs,Nerves and limbs," Direction: In each of the following questions, select the related word from the given alternatives. Cataract : Eye : : Pneumonia : ? "
312,2.1,b, Amphibian, Reptile,Fish, Mollusc," Direction: In each of the following questions, select the related word from the given alternatives. Whale : Mammal : : Turtle : ? "
313,2.1,c, Sympathy, Melancholy, Autonomy, Recompense," Direction: In each of the following questions, select the related word from the given alternatives. Dominance : Hegemony : : Independence : ? "
314,2.1,d, Player,Conductor, Pianist, Composer," Direction: In each of the following questions, select the related word from the given alternatives. Eye : Ophthalmologist : : Music : "
315,2.1,d, Diseases, Fungi, Fishes, AlgaeQ317.," Direction: In each of the following questions, select the related word from the given alternatives. Haematology : Blood : : Phycology : ? "
316,2.3,d,PSYCHOLOGY : MIND,ANATOMY : BODY,ARCHAEOLOGY : ANTIQUES,PHILOSOPHY : LANGUAGE," Direction: In each of the following questions, select the related word from the given alternatives. Identify the pair which ‘DOES NOT’ exhibit the same relationship as the Capitalised pair : ETYMOLOGY : WORDS "
317,2.1,a, Ore,Drugs, Factory,Office," Direction: In each of the following questions, select the related word from the given alternatives. Garbage : House : : Gangue : ? "
318,2.1,d, Spinal cord,Cerebrum, Brain,Neurons," Direction: In each of the following questions, select the related word from the given alternatives. Kidneys : Nephron : : Central Nervous System : ? "
319,2.1,b, Agrology,Ophiology, Mycology,Cetology," Direction: In each of the following questions, select the related word from the given alternatives. Insects : Entomology : : Snakes : ? "
320,2.1,a, Flour,Biscuit, Cake,Butter," Direction: In each of the following questions, select the related word from the given alternatives. Book : Paper : : Bread : ? "
321,2.3,c,Summer : Sun,Germs : Disease,Light : Dark,Thin : Big," Direction: In each of the following questions, select the related word from the given alternatives. Hot : Cold : : ? "
322,2.1,c, FIJI, NORWAY, HOLLAND, SWEDEN," Direction: In each of the following questions, select the related word from the given alternatives. FRENCH : FRANCE : : DUTCH : ? "
323,2.1,c, SHADE, FRUIT, FOREST, FURNITURE," Direction: In each of the following questions, select the related word from the given alternatives. BOOK : LIBRARY : : TREE : ? "
324,2.1,d, WORDS, WRITER, PAGES, COVER," Direction: In each of the following questions, select the related word from the given alternatives. CARD : JOKER : : BOOK : ? "
325,2.1,d, GUM, POSTOFFICE, SUITCASE, LETTER," Direction: In each of the following questions, select the related word from the given alternatives. WALLET : MONEY : : ENVELOPE : ? "
326,2.1,c,Ophthalmologist,Nephrologist,Neurologist,Gynecologist," Direction: In each of the following questions, select the related word from the given alternatives. Heart : Cardiologist : : Brain :? "
327,2.1,d, Money, Pleasure, Degree, Career," Direction: In each of the following questions, select the related word from the given alternatives. Vacation : Holiday : : Vocation : ? "
328,2.3,c,Heart : Artery,Sea : Water,Volcano : Lava,Hunger : Bread," Direction: In each of the following questions, select the related word from the given alternatives. Eyes : Tears : : "
329,2.1,d, Snake,Crocodile, Frog, Cod," Direction: In each of the following questions, select the related word from the given alternatives. Perch : Fresh water : : ? : Salt water"
330,2.1,a, Restaurant, Food, Dieting, Fitness," Direction: In each of the following questions, select the related word from the given alternatives. Exercise : Gym : : Eating : ? "
331,2.1,b, Peon, Banker, Manager, Cashier," Direction: In each of the following questions, select the related word from the given alternatives. School : Teacher : : Bank : ? "
332,2.3,c,Certificate : Merit,Necklace : Adornment,Baby : Cradle,Trophy : Achievement," Direction: In each of the following questions, select the related word from the given alternatives. Patient : Fowler Bed : : ? "
333,2.1,c, Manager, Man, Masculine, Macho," Direction: In each of the following questions, select the related word from the given alternatives. Female : Feminine : : Male : ? "
334,2.1,b, Masonry,Singing, Plumbing,Driving," Direction: In each of the following questions, select the related word from the given alternatives. Carpentry : Skill : : ? : Talent "
335,2.1,c, Blended,Comparison, Conflict,Association," Direction: In each of the following questions, select the related word from the given alternatives. Concord : Agreement : : Discord : ? "
336,2.3,c, Cars,Air, Spokes,Round," Direction: In each of the following questions, select the related word from the given alternatives. Fan : Wings : : Wheel : ? "
337,2.1,a, Experiments,Laboratory, Scientists,Facts," Direction: In each of the following questions, select the related word from the given alternatives. Mathematics : Logic : : Science : ? "
338,2.1,c, Cover,Novel, Page,Glass," Direction: In each of the following questions, select the related word from the given alternatives. Window : Pane : : Book : ? "
339,2.1,d, China,Australia, Russia, America," Direction: In each of the following questions, select the related word from the given alternatives. Hockey : India : : Baseball : ? "
340,2.1,c, Rodent, Cat, Mouse, Spider," Direction: In each of the following questions, select the related word from the given alternatives. Ant : Fly : Bee : : Hamster : Squirrel : ? "
341,2.1,d, DNA,Organs, Chlorophyll, Tissue," Direction: In each of the following questions, select the related word from the given alternatives. Brick : Wall : : Cell : ? "
342,2.1,d,Table : Chair,Regiment : Soldier,Wheel : Car,Wheel : Bearing," Direction: In each of the following questions, select the related word from the given alternatives. Motor : Coil : : ? "
343,2.1,b,Cloth : Tailor,Surgeon : Forceps,Carpenter : Wood,Pen : Writer," Direction: In each of the following questions, select therelated word from the given alternatives. Blacksmith : Hammer : : ? "
344,2.1,a, Tonga,Ride, Race,Plough," Direction: In each of the following questions, select the related word from the given alternatives. Bullock : Cart : : Horse : ? "
345,2.1,b, Gallon,Ounce, Milk,Liquid," Direction: In each of the following questions, select the related word from the given alternatives. Yard : Inch : : Quart : ? "
346,2.1,a, Wound,Clothing, Bandage,Bleeding," Direction: In each of the following questions, select the related word from the given alternatives. Pesticide : Crop : : Antiseptic : ? "
347,2.1,a, Gloomy,Mean, Petty,Helpful," Direction: In each of the following questions, select the related word from the given alternatives. Optimist : Cheerful : : Pessimist : ? "
348,2.4,c," 2, 6, 10"," 4, 8, 18","5,9,17","7,12,19"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (3, 7, 15) "
349,2.4,c," (2, 10, 16)"," (12, 72, 96)"," (4, 24, 48)"," (6, 42, 48)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (3, 18, 36) "
350,2.4,d," 7, 13, 28"," 5, 13, 28","9,13,26","5,13,29"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given Set : (7, 15, 31) "
351,2.4,a,"81, 63, 45"," 64, 40, 28"," 72, 40, 24"," 72, 48, 24"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : 63, 49, 35 "
352,2.4,b," 2, 7, 8"," 3, 21, 24"," 4,16,18"," 2, 9, 16"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (2, 14, 16) "
353,2.4,d," 7, 49, 98"," 8, 64, 46","9,84,45","11,111,84"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given number set : (6, 36, 63) "
354,2.4,c," (3, 6, 12)"," (2, 8, 10)"," (5, 12, 18)"," (7, 10, 18)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (4, 10, 15) "
355,2.4,b," (42, 34, 16)"," (24, 16, 0)"," (34, 24, 14)"," (26, 32, 42)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (32, 24, 8) "
356,2.4,c," (4, 8, 16)"," (6, 9, 12)"," (7, 11, 18)"," (8, 11, 12)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question.Given set : (5, 9, 16) "
357,2.4,a,"29, 57, 13"," 24, 53, 17","29, 57, 14"," 21, 51, 17"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : 23, 51, 17 "
358,2.4,a," (4, 20, 56)"," (7, 42, 49)"," (12, 24, 47)"," (9,27,81)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (2, 10, 58) "
359,2.4,c," (6, 8, 10)"," (9, 12, 15)"," (6, 7, 8)"," (12, 16, 20"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (3, 4, 5 ) "
360,2.4,b," 8, 12, 19"," 11, 9, 30"," 8, 19, 11"," 5, 13, 11"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (17, 13, 20) "
361,2.4,d,"6,42,86","7,42,218"," 6, 24, 70"," 8, 48, 192"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given : (6, 30, 90) "
362,2.4,b," 4, 16, 28"," 7, 12, 22"," 6, 12, 22"," 5, 12, 20"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (6, 14, 30) "
363,2.4,b,"2, 7, 12, 32"," 3, 8, 18, 33","4, 8, 19, 34"," 8, 13, 22, 38"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (7, 12, 22, 37) "
364,2.4,a,"(32.5, 37.0, 43.5)","(54.4, 58.0, 62.4)","(62.2, 66.8,70.6)","(81.3, 85.8, 92.0)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (10.5, 15.0, 21.5) "
365,2.4,a," (4, 20, 56)"," (7, 42, 49)"," (12, 24, 48)"," (9, 27, 81)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (2, 10, 28) "
366,2.4,c," (4, 36, 79)"," (9, 48, 81)"," (16, 64, 100)","(9, 49, 143)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Give Set : (4, 25, 81) "
367,2.4,c," (7, 56, 63)"," (3, 15, 24)"," (6, 42, 54)"," (5, 30, 35)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given Set : (8, 56, 72) "
368,2.4,a,"4, 25, 36,"," 9, 16, 25","4,16,36","9,25,49"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given Set : (4, 9, 25) "
369,2.4,b,"2,4,15","3,18,36","7,15,21","9,36,47"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given Set : (5, 15, 40) "
370,2.4,b,"(3, 9, 30)","(7, 49, 343)","(12, 144, 221)","(6, 36,"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (9, 81, 729) "
371,2.4,d,"27, 23, 17, 9","53, 49, 47, 45","47, 43, 37, 35","31, 26, 22, 19"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : 27, 22, 18, 15 "
372,2.4,d," (3, 8, 20)"," (5, 10, 22)"," (4, 10, 15)"," (9, 16, 25)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (1, 4, 9)? "
373,2.4,d,"(5, 12, 32)","(32, 39, 59)","(60, 79, 86)","(64, 125,"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (1, 8, 27) "
374,2.4,c," 36, 32, 28, 30","24, 22, 18, 9","32, 28, 20, 4","40, 38, 36, 28"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (21, 18, 12, 0) "
375,2.4,b,"4, 9, 144","16, 100, 256","25, 49, 121","9, 81, 169"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. 16, 36, 64 "
376,2.4,c,"26, 144, 163","55, 126, 80","8, 27, 64",45134154," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set : (64, 216, 125) "
377,2.4,b," (7, 10, 13)"," (3, 8, 24)"," (3, 6, 18)"," (4, 5, 9)"," Direction: From among the given alternatives select the one in which the set of numbers is most like the set of numbers given in the question. Given set of numbers :(2, 5,15) "
