,category,correctOption,optionA,optionB,optionC,optionD,questions
257,3.2,b, more different, any different, difference, any difference, This school isn’t _____ from the last one. 
258,3.2,a, upon, with, for, of, I have decided _____ my course of action. 
259,1.2,a, To make peace, To dig the ground, To negotiate, To make war, To bury the hatchet 
260,1.2,d, To have a good season, To become as planned, To have a very slow sale, To have a very good sale, Selling like hot cakes 
261,1.2,b, Unlimited, Unpunished, To freedom, Unrepentant, Scot free 
262,6,c, Illusion, Illegal, Obsolete, Historic, A thing no longer in use 
263,6,b, Laboratory, Observatory, Astrolibrary, Astrophery, A place where astronomical observations are made 
264,6,d, Regicide, Fratricide, Matricide, Sororicide, Killing one’s sister 
265,3,b, giving, passing, donating, No improvement, Government officials keep throwing the buck to others. 
266,3,a, tore up, break in, teared up, No improvement, She angrily broke up the letter. 
267,3,c, have built, have build, had built, No improvement, They told me that they had build a new house. 
268,3,d, his, our, one’s, No improvement, One should exercise their right to vote 
269,3,c, morn, mourne, moan, No improvement, She sank back with a mourn of pain 
270,9,a," St. Xavier’s College, Kolkata", Cambridge University," Presidency College, Kolkata", Bose Institute," It has now become a world-famous Research Laboratory doing yeoman’s service to various branches of science. 21. Acharya Jagadish Chandra Bose, one of the greatest of modern scientists, graduated from which college? "
271,9,b, Minimal, Invaluable, Discreet, Sporadic, What is meant by yeoman service? 
272,9,c, Toaster, Oven, Microwave, wireless," Acharya Jagadish Chandra Bose was a pioneer in the discovery of the wireless, radio and the _____ . "
273,9,d, feel joyous and excited as we do., feel happy and sad as we do., feel excitement and pain as we do., feel pleasure and pain as we do.," Jagadish Chandra Bose made remarkable contribution to the science of Botany by proving with the help of an instrument of his own invention that trees and plants have not only life, but _____ . "
274,9,c, A scholarship, A trophy, A degree, A medallion, What is meant by a Tripos from Cambridge University? 
275,1,c, COMPARTMENT, HOLE, CONTAINER, FUNNEL,"In the following question, out of the four alternatives, choose the word which best expresses the meaning of the given word and click the button corresponding to it. RECEPTACLE "
276,2,d, PRIDE, LOVE, COURAGE, HUMILITY," In the following question, out of the four alternatives, choose the word which is opposite in meaning to the given word and click the button corresponding to it. VANITY "
277,5,b, Acquisision, Acqiusition, Acquisition, Acquisetion," Four words are given, out of which only one word is spelt correctly. Choose the correctly spelt word and click the button corresponding to it. "
278,8,c, A, B, C, D, If you permit me to speak the truth (A)/ I shall state without hesitation (B)/ that you have done a mistake (C)/ No Error (D) 
279,8,a, A, B, C, D, I succeeded persuading him (A)/ to come with me (B)/ only after hours of argument (C)/ No Error (D) 
280,8,b, A, B, C, D, Vermin (A)/ does much harm (B)/ to crops (C)/ No Error(D) 
281,3.2,a, faster, more faster, sounder, lighter, Light is _____ than sound. 
282,3.2,c, supplied, favoured, employed, cited, The man _____ for the purpose never did what was expected of him. 
283,3.2,a, altercation, alteration, aberration, altieration, There was a serious _____ between the two brothers. 
284,1.2,d, Space to breathe, Time, Acting strange, Behaving arrogantly, To give oneself airs 
285,1.2,a, At a short distance, At a place where quarrels take place, At a great distance, A quarry, At a stone’s throw 
286,1.2,c, A delicious nonvegetarian item, An item which made them content, Cause for quarrel, A link between them, Bone of contention 
287,6,a, Outlaw, Immigrant, Outcast, Orphan, A person who has lost the protection of the law 
288,6,b, Xeroxing, Forgery, Laminating, Copying, Falsification of documents etc. 
289,6,a, Expiate, Renounce, Remonstrate, Recant, To make atonement for one’s sins 
290,3,d, were absented, absented, had absented, No improvement, The boys absented themselves for two days. 
291,3,c, on, in, aside, No improvement, My mother insists on setting up something everyday for charity. 
292,3,a, embarked, begun, opened, No improvement, He began on a new business venture. 
293,3,a, tell, state, speak, No improvement, I have to say them the truth. 
294,3,d, 11 am to 3 pm, 11 am from 3 pm, 11 am by 3 pm, No improvement, The SSB will interview the candidate between 11 am and 3 pm  
295,9,d, Made stone tools, Made hoes or pots, Weave cloth, All of the above, What did man do in his spare time? 
296,9,a, Specialization to acquire greater skills, Learning arithmetic, Working in groups, Working from home," In the passage, “division of labour” means? "
297,9,a, Later part of the Stone Age, Early part of the Stone Age, Later part of the Ice Age, Medieval times, To which period do the Neolithic times refer: 
298,9,b, age, qualities of leadership, responsibility and courage, trust and loyalty, Chiefs were elected by the community for their 
299,9,c, allowance, favour, benefit, interest, The meaning of ‘privilege’ is 
