,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
75,2.7,Time and Tense,We take up,this issue in the,next meeting of,our Housing Society.,No error,A,Find the error.
76,2.7,Time and Tense,Vinod is working,for our organisation,for the last few years in the,publication department.,No error,A,Find the error.
77,2.7,Time and Tense,As soon as we,"enter the hotel, the",manager welcomes us and,took us to the table.,No error,D,Find the error.
78,2.7,Time and Tense,The patient recovers,so fast that,the expert doctors,also were surprised.,No error,A,Find the error.
79,2.7,Time and Tense,Pramod and Surendra used,to work for almost twelve,hours in the factory,they are working earlier.,No error,D,Find the error.
80,2.7,Time and Tense,Washing the dishes,she remembered that,she was to go,to the market.,No error,C,Find the error.
81,2.7,Time and Tense,No sooner did he,give a whistle than,we all start running,in that direction.,No error,C,Find the error.
82,2.7,Time and Tense,The mission provides,able services to all,the needy people in this area,during the last few years.,No error,A,Find the error.
83,2.7,Time and Tense,Two hours,have lapsed,since he,had gone out.,No error,D,Find the error.
84,2.7,Time and Tense,Although their visas,will expire in September,they can have them,extended for six months.,No error,B,Find the error.
85,2.7,Time and Tense,I have been,working on my,autobiography for the,last seven years.,No error,E,Find the error.
86,2.7,Time and Tense,If you would have,informed me I would have,immediately take some,action against him.,No error,A,Find the error.
87,2.7,Time and Tense,I believe that,next time when you,will be coming to Mumbai,you will bring my book.,No error,C,Find the error.
88,2.7,Time and Tense,Since I meet ,Dinesh last Saturday,he has been contacting me,everyday over phone.,No error,A,Find the error.
89,2.7,Time and Tense,If you had told me,yesterday I would,arranged a car for you,to leave for New Delhi.,No error,B,Find the error.
90,2.7,Time and Tense,He is speaking in such,a soft voice that he was,not audible even to the people,who were sitting in the first row.,No error,A,Find the error.
91,2.7,Time and Tense,Rahul would attempt to open,the lock with all his might,when his spectacles slipped,off and fell down.,No error,A,Find the error.
92,2.7,Time and Tense,Having worked,"for the whole day,",you could have taken some rest,and start work again.,No error,D,Find the error.
93,2.7,Time and Tense,Had you not,"reached in time,",we would have lost,all our belongings.,No error,E,Find the error.
94,2.7,Time and Tense,The saint at that time believes,that it was his mission,to spread ,the message of God to all.,No error,A,Find the error.
95,2.7,Time and Tense,Dinesh met me yesterday,but he did not tell me,that he has,resigned from the factory.,No error,C,Find the error.
96,2.7,Time and Tense,Last week when,I reach Ravindra’s house,he had already,left for Mumbai.,No error,B,Find the error.
97,2.7,Time and Tense,We had,helped him,if he had,requested us earlier.,No error,A,Find the error.
98,2.7,Time and Tense,Unless you gave,your consent,we shall not accept,this project work.,No error,A,Find the error.
99,2.7,Time and Tense,When I receive,"the letter, the date",for the interview,was already over.,No error,A,Find the error.
100,2.7,Time and Tense,Our country’s performance,in the last few national and international games,is fairly ordinary,and below our stature.,No error,B,Find the error.
101,2.7,Time and Tense,Indian enterpreneurs are making waves,"throughout the world, their ideas",and technical knowledge are yielded,unprecedented growth income and employment.,No error,C,Find the error.
102,2.7,Time and Tense,If I will meet,"Navneet in the meeting,",I will give,him your message.,No error,A,Find the error.
103,2.7,Time and Tense,The two artists differ,"markedly in their temperaments,","one was reserved and courteous,",the other rude and boastful.,No error,C,Find the error.
104,2.7,Time and Tense,I may go to the,swimming class tomorrow,if I have recovered,from the cold.,No error,C,Find the error.
105,2.7,Time and Tense,I would appreciate if readers,would write to me,about how they meditate.,No error,Noopt,B,Find the error.
106,2.7,Time and Tense,Ramesh smiled when he was remembering,his hard early years,and his long road to success.,No error,Noopt,A,Find the error.
107,2.7,Time and Tense,He is given me,a lot of documents,to read before,the presentation tomorrow.,No error,A,Find the error.
108,2.7,Time and Tense,Every month we advertise,in a few national,newspapers and receives,thousands of applications.,No error,C,Find the error.
109,2.7,Time and Tense,Since I had lived there,for many years the villagers,were very comfortable talked,to me about their problems.,No error,C,Find the error.
110,2.7,Time and Tense,Just before the demonstration started,the police arrive at the site,as if they had,received invitation.,No error,B,Find the error.
111,2.7,Time and Tense,The actual conduct of the test,at each venue will be entrusted,to the officer-in-charge,who will be designated as test conductor.,No error,E,Find the error.
112,2.7,Time and Tense,In the early days,I would sit through meetings,and frequently have no idea,what a presenter was talking with.,No error,C,Find the error.
113,2.7,Time and Tense,India’s travel and tourism,industry is posed,on growth at seven,percent this year alone.,No error,B,Find the error.
114,2.7,Time and Tense,The ministry was considered,several proposals for the,development of small and medium,enterprises during Budget discussions.,No error,A,Find the error.
115,2.7,Time and Tense,Without waiting for,"the instruction from the Government,",some cable operators in,the city had block the news.,No error,D,Find the error.
116,2.7,Time and Tense,The authorities have instructed,that brief note must be prepared,on all the issues related,to customer grievances.,No error,E,Find the error.
117,2.7,Time and Tense,Hindi films are certainly,popular in the last decade,but in these days our regional films,have attained more popularity.,No error,A,Find the error.
118,2.7,Time and Tense,On account of the,high land prices we,are set up the factory,on the outskirts of the city.,No error,C,Find the error.
119,2.7,Time and Tense,Our customers are always visit,our branches to,discuss their problems,with staff.,No error,A,Find the error.
120,2.7,Time and Tense,After you will return,from Chennai,I will come and see you.,No error,Noopt,A,Find the error.
121,2.7,Time and Tense,The committee reviewing,the deal comprising,leading businessmen and policymakers,of our country.,No error,B,Find the error.
122,2.7,Time and Tense,Most of the tribals,in the region,are depended on the forest,to earn their livelihoods.,No error,C,Find the error.
123,2.7,Time and Tense,The insurance company has plans,"to hire 30,000 agents",at a time when,most companies are cutting jobs.,No error,E,Find the error.
124,2.7,Time and Tense,Due to the financial crisis,the price of foodgrains,has risen sharply,over the past few months.,No error,E,Find the error.
125,2.7,Time and Tense,We have been under,a lot of pressure to,open fifty new stores,by the ending of the year.,No error,D,Find the error.
126,2.7,Time and Tense,Most people like to,rest after a day’s hard work,but he seemed to have,an inexhaustive supply of energy.,No error,C,Find the error.
127,2.7,Time and Tense,The president has denied,that the economy is in recession,or was go into one,despite a spate of downcast reports. ,No error,C,Find the error.
128,2.7,Time and Tense,No sooner did the students,seen the principal approach,than they ran,from the playground.,No error,B,Find the error.
129,2.7,Time and Tense,I have being working,in that organization for five years,but now I work,for a different company.,No error,A,Find the error.
130,2.7,Time and Tense,Arranging such a large amount,of funds now will be a problem why,banks are usually not open,so early in the morning.,No error,C,Find the error.
131,2.7,Time and Tense,If the manufacturing sector continues,to grow at the same rate for,"the next few months, I think it ",has a high growth rate this year.,No error,D,Find the error.
132,2.7,Time and Tense,We are yet starting,offerings this facility to,our customers as we are,awaiting approval from the Board.,No error,A,Find the error.
133,2.7,Time and Tense,Had this notification,"been amended earlier,",we could have stopped,the transfer of funds.,No error,E,Find the error.
134,2.7,Time and Tense,India demonstrates its supremacy,in space when it successfully,launched its third satellite,into orbit yesterday.,No error,A,Find the error.
135,2.7,Time and Tense,Sugar-sweetened drinks do not,"pose any particular health risk, and",are not a unique risk factor,for obesity or heart disease.,No error,E,Find the error.
136,2.7,Time and Tense,Celebrating its ten long years,"in the industry, a private entertainment channel",announce a series of,programmes at a press conference.,No error,C,Find the error.
137,2.7,Time and Tense,As our economy is,"experiencing a recession, banks",have became very cautions,about giving loans.,No error,C,Find the error.
138,2.7,Time and Tense,Rupali wanted to get,a clear picture about,the incident so that she,speak to the victims.,No error,D,Find the error.
139,2.7,Time and Tense,They were having,a birthday party at home,next week.,No error,Noopt,A,Find the error.
140,2.7,Time and Tense,My friend become,terribly upset,after losing her purse,at the supermarket.,No error,A,Find the error.
141,2.7,Time and Tense,If the police would have arrived,on time,the riot would not have occurred.,No error,Noopt,A,Find the error.
142,2.7,Time and Tense,When I asked the driver,to come with me to the temple,he had been reluctant.,No error,Noopt,C,Find the error.
143,2.7,Time and Tense,They are residing,in this city,for the last two decades.,No error,Noopt,A,Find the error.
144,2.7,Time and Tense,Our new television set come,with a 90 days warranty,on all electrical components.,No error,Noopt,A,Find the error.
145,2.7,Time and Tense,She is going everyday,for a morning walk,with her friends and neighbours.,No error,Noopt,A,Find the error.
146,2.7,Time and Tense,It is high time,that we leave,this place.,No error,Noopt,B,Find the error.
147,2.7,Time and Tense,She is preparing,for this examination,since 2004.,No error,Noopt,A,Find the error.
148,2.7,Time and Tense,If her grandfather,would have lived three more days,he would have been 100 years old.,No error,Noopt,B,Find the error.
149,2.7,Time and Tense,India has got,freedom,in 1947.,No error,Noopt,A,Find the error.
150,2.7,Time and Tense,"Believe me, I",am believing,whatever you have said.,No error,Noopt,B,Find the error.
151,2.7,Time and Tense,If he is millionaire,he would help,the millennium project.,No error,Noopt,A,Find the error.
152,2.7,Time and Tense,The modern day,life-style has became,too mechanical,and stressful.,No error,B,Find the error.
153,2.7,Time and Tense,I have been waiting,for my father,for the past two hours.,No error,Noopt,D,Find the error.
154,2.7,Time and Tense,"On the second day of the workshop,",participants does a situational analysis of the state,and spoke about their plan of action,for implementing the Act.,No error,B,Find the error.
155,2.7,Time and Tense,We have discussing,all the known mechanisms,of physical growth.,No error,Noopt,A,Find the error.
156,2.7,Time and Tense,The vaccine,when hit the Indian market,is dogged by controversy.,No error,Noopt,C,Find the error.
157,2.7,Time and Tense,The bus waiting,for all the passengers,to enter,before it took off.,No error,A,Find the error.
158,2.7,Time and Tense,The police making,everyone leave,the building premises,immediately. ,No error,A,Find the error.
159,2.7,Time and Tense,We are already,written to the IT Department,last week seeking permission,to set up our own website.,No error,A,Find the error.
160,2.7,Time and Tense,People find it,difficult to understand,him as he,don’t speak clearly.,No error,D,Find the error.
161,2.7,Time and Tense,Dr. Shah was explain,the benefits of,exercising at least,five times a week.,No error,A,Find the error.
162,2.7,Time and Tense,The former superstar recently,"visits an orphanage,",fuelling speculation that,she is planning to adopt a child.,No error,B,Find the error.
163,2.7,Time and Tense,Once upon a time,there lived a tiger,which stray into a city,in search of food.,No error,C,Find the error.
164,2.7,Time and Tense,It was not easy for late Raja Ram Mohan Roy,to root out the custom of Sati,because a majority of ,the educated class does not support him.,No error,D,Find the error.
165,2.7,Time and Tense,Even though the exchange attract,the attention of all those present at,"the police station, the inspector continued",his tirade against the girl.,No error,A,Find the error.
166,2.7,Time and Tense,The market continues to be positive,and in the next quarter we expected,the trend to continue with,the onset of the festive season.,No error,B,Find the error.
167,2.7,Time and Tense,Unless,you will study hard,you cannot pass.,No error,Noopt,B,Find the error.
168,2.7,Time and Tense,The car broke,down while he,was on his,way to work.,No error,E,Find the error.
169,2.7,Time and Tense,Do you wanted,to discuss this,project today or can,we do it tomorrow?,No error,A,Find the error.
170,2.7,Time and Tense,When we,"reached the shops,",we find that,they were all closed.,No error,C,Find the error.
171,2.7,Time and Tense,As soon as,I getting my,first salary,I spent all my money.,No error,B,Find the error.
172,2.7,Time and Tense,The principal,introducing me,to some of her,teaching staff.,No error,B,Find the error.
173,2.7,Time and Tense,The families,are living in Gulmohar park,for the last two decades.,No error,Noopt,B,Find the error.
174,2.7,Time and Tense,My uncle,has left,for Bombay last Saturday.,No error,Noopt,B,Find the error.
175,2.7,Time and Tense,Many top executive,of the bank attends,the inauguration of the,branch last week.,No error,B,Find the error.
176,2.7,Time and Tense,You are,always doing,this mistake.,No error,Noopt,D,Find the error.
177,2.7,Time and Tense,This custom,has come down,since times immemorial.,No error,Noopt,C,Find the error.
178,2.7,Time and Tense,This letter will reach him,before he left,for delhi.,No error,Noopt,B,Find the error.
179,2.7,Time and Tense,The political candidate asked,as if she has already been elected,to the presidency.,No error,Noopt,B,Find the error.
180,2.7,Time and Tense,The government,is planning to,set up family welfare centres,for slums in cities.,No error,E,Find the error.
181,2.7,Time and Tense,If you were given a,chance to live in,"some other country, which",one would you have chosen ?,No error,E,Find the error.
182,2.7,Time and Tense,Had he worked hard,he would pass the examination,in first class?,No error,Noopt,B,Find the error.
183,2.7,Time and Tense,If I would be a millionaire,I would not be wasting my time,waiting for a bus.,No error,Noopt,A,Find the error.
184,2.7,Time and Tense,He is working,in a bank in Patna,for the past several months.,No error,Noopt,A,Find the error.
185,2.7,Time and Tense,I,am having,three children.,No error,Noopt,B,Find the error.
186,2.7,Time and Tense,Why,they didn’t turn up,to the work shop? ,No error,Noopt,B,Find the error.
187,2.7,Time and Tense,We,are leaving,for Kerala today.,No error,Noopt,D,Find the error.
188,2.7,Time and Tense,If he had walked,fast enough,he will get the bus.,No error,Noopt,C,Find the error.
189,2.7,Time and Tense,My grandfather used,to go,for a walk,every morning.,No error,E,Find the error.
190,2.7,Time and Tense,That two and two,always made,four cannot,be doubted.,No error,B,Find the error.
191,2.7,Time and Tense,Nobody knows,when death,will knock at,his door.,No error,E,Find the error.
192,2.7,Time and Tense,Adam hopes to become,an officer after,he will complete,his higher education.,No error,C,Find the error.
193,2.7,Time and Tense,Maria along with her parents ,is going to Chennai tonight,because her eldest brother,is ill there.,No error,E,Find the error.
194,2.7,Time and Tense,My friend,"said to me,",“When have,you come here?”,No error,C,Find the error.
195,2.7,Time and Tense,Many observations indicate,that the number of the drug,addicts is grew,day by day.,No error,C,Find the error.
196,2.7,Time and Tense,Newpapers told,us about the events,that happen,all over the world.,No error,A,Find the error.
197,2.7,Time and Tense,‘Here is coming,"my friend!’,",said Maria when,she was anxious.,No error,A,Find the error.
198,2.7,Time and Tense,He advised me,to do as he did,but I did not pay any attention,to his advice.,No error,E,Find the error.
199,2.7,Time and Tense,By this time next year he,has had,settled himself,In Zurich.,No error,B,Find the error.
200,2.7,Time and Tense,I have been,working for this,organisation for,the last ten years.,No error,E,Find the error.
201,2.7,Time and Tense,If we had Patrick,"in our team, we",would have won the match,against your team.,No error,A,Find the error.
202,2.7,Time and Tense,Stella came,to the meeting,much later,than I expect.,No error,D,Find the error.
203,2.7,Time and Tense,If I was you,I would have told,the Chairman to keep,his mouth shut.,No error,A,Find the error.
204,2.7,Time and Tense,I want you to,pick up the box,of the eggs gently and,keep it in the corner carefully.,No error,D,Find the error.
205,2.7,Time and Tense,Before the alarm,had stopped ringing,Veera had pulled up,the shade.,No error,B,Find the error.
206,2.7,Time and Tense,I have been knowing,him for ten years,but I don’t know,where he lives.,No error,A,Find the error.
207,2.7,Time and Tense,He uses to study,at least till ten O’clock,at night and then,he goes to bed.,No error,A,Find the error.
208,2.7,Time and Tense,If he had,"a few hours to spare,",he would spend,them in a public library.,No error,E,Find the error.
209,2.7,Time and Tense,All the flowers,in his garden will surely die,before the rains,will fall.,No error,D,Find the error.
210,2.7,Time and Tense,The secret of his good,health lies in the fact that,he is getting up before sunrise,and has a two-mile walk every morning.,No error,C,Find the error.
211,2.7,Time and Tense,Now-a-days he teaches physics,because the teacher of physics,has been absenting himself,for a month.,No error,A,Find the error.
212,2.7,Time and Tense,He seems to be happy,because his parents,had come from London,to live with him.,No error,C,Find the error.
213,2.7,Time and Tense,‘It is high time,you are starting,this work.’,my friend said to me.,No error,B,Find the error.
214,2.7,Time and Tense,I have come,to know that your,father has died,last week.,No error,C,Find the error.
215,2.7,Time and Tense,When you will find out,any solution to this problem,you will become able,to finalise the project.,No error,A,Find the error.
216,2.7,Time and Tense,Whenever,"you are coming here,",you bring a lot of,sweets for me.,No error,B,Find the error.
217,2.7,Time and Tense,It is appearing to me,that you are plotting,against your,friends and their parents.,No error,A,Find the error.
218,2.7,Time and Tense,The old man who is sitting in that room,lived here for more than,a month but he has never created,any problem.,No error,B,Find the error.
219,2.7,Time and Tense,A mysogynist is a person,who is hating woman,but a philogynist is a person,who loves woman.,No error,B,Find the error.
220,2.7,Time and Tense,Many of my friends,wished to come here,today but,none of them arrived yet.,No error,D,Find the error.
221,2.7,Time and Tense,She says ,that she will take,her umbrella,in case it will rain.,No error,D,Find the error.
222,2.7,Time and Tense,I will let you know,as soon as I will get,any information,about your promotion.,No error,B,Find the error.
223,2.7,Time and Tense,When I will be thirty,most of my friends,will be above thirty five,be sure.,No error,A,Find the error.
224,2.7,Time and Tense,"This is, indeed,",the first time in my life that,I hear,such an interesting story.,No error,C,Find the error.
225,2.7,Time and Tense,"If I would have done this,",I would have done wrong,and would have disappointed,many of my friends.,No error,A,Find the error.
226,2.7,Time and Tense,If she had told me that,her husband never lived,"within his means, I would not",have lent him the money.,No error,E,Find the error.
227,2.7,Time and Tense,I wish,he saw you,when you were,living in England.,No error,B,Find the error.
228,2.7,Time and Tense,The judge had not given,any decision,until he had,studied the case.,No error,A,Find the error.
229,2.7,Time and Tense,I lived,"her since 2000,",therefore I know everything,about this city.,No error,A,Find the error.
230,2.7,Time and Tense,The victim tried to tell us,what has happened,but his words,were not audible.,No error,B,Find the error.
231,2.7,Time and Tense,We got,everything ready for all,of them long,before they arrived.,No error,A,Find the error.
232,2.7,Time and Tense,She was with,"me until now,",so don’t rebuke her,for getting late.,No error,A,Find the error.
233,2.7,Time and Tense,I have been adoring,her for,the voice with,which she is gifted.,No error,A,Find the error.
234,2.7,Time and Tense,Had he come,"even a moment earlier,",he would have,found me there.,No error,E,Find the error.
235,2.7,Time and Tense,It is about time,you have taken,your children,to school.,No error,B,Find the error.
236,2.7,Time and Tense,I had hoped,that I would see,"you the other day, but",unfortunately I fell ill.,No error,E,Find the error.
237,2.7,Time and Tense,The thief was caught,after he has disposed of,the stolen goods.,No error,Noopt,B,Find the error.
238,2.7,Time and Tense,"Selena arrived here,",did all the preparations,and then has called,no one of her intimate friends.,No error,C,Find the error.
239,2.7,Time and Tense,I could not recall,what she has told,me about her,concern with Moti.,No error,B,Find the error.
0,1.7,Tense,The population of the world _______ very fast now.,rises,rose,is rising,will rise,C,Fill in the correct tense.
1,1.7,Tense,It _______ last week. ,has not rained,did not rained,will not be raining,did not rain,D,Fill in the correct tense.
2,1.7,Tense,She was tired because she _______ very hard.,is working,was working,has been working ,will have been working,E,Fill in the correct tense.
3,1.7,Tense,Ruby _______ very long hair when she was a child.,has,will have,didn’t have,used to have,D,Fill in the correct tense.
4,1.7,Tense,"If I _______ his number, I would phone him.",know,known,knew,did not know,C,Fill in the correct tense.
5,1.7,Tense,I shall tell you when she _______ .,will come,come,comes,is coming,C,Fill in the correct tense.
6,1.7,Tense,Payal told me that she _______ out for a walk every morning.,went,goes,had gone,has gone,A,Fill in the correct tense.
7,1.7,Tense,She told her mother than Mitchella _______ her there the previous day.,met,meets,had met,would meet,C,Fill in the correct tense.
8,1.7,Tense,The Principal _______ the peon to let the girl come in.,said to,has said,ordered to,ordered,D,Fill in the correct tense.
9,1.7,Tense,Sushma said that she _______ finished her work by 12 a.m.,will have,has,had,would has,E,Fill in the correct tense.
10,1.7,Tense,Her mother told him that the sun _______ in the east.,rose,is rising,will rise,rises,D,Fill in the correct tense.
11,1.7,Tense,I asked Maria if Amy _______ already been married.,has,have,had,would have,C,Fill in the correct tense.
12,1.7,Tense,"If they _______ early, they would have caught the train. ",left,have left,had left,would have left,C,Fill in the correct tense.
13,1.7,Tense,She _______ in Chennai for three years before the year 2005.,was living,has been living,would have been living,had been,D,Fill in the correct tense.
14,1.7,Tense,She talks as if she _______ mad.,is,was,were,had,C,Fill in the correct tense.
15,1.7,Tense,I order her about as if she _______ my wife. ,is,was,had ,were,D,Fill in the correct tense.
16,1.7,Tense,I _______ many countries before I returned from England. ,saw,have seen,had seen,has been seeing,C,Fill in the correct tense.
17,1.7,Tense,I _______ the newspaper when Alex came.,is reading,read,has read,was reading,D,Fill in the correct tense.
18,1.7,Tense,Mr. Sinha helped us more than he _______ his own students.,helped,has helped,helps,is helping,C,Fill in the correct tense.
19,1.7,Tense,They worked hard lest they _______ in the examination.,will fail,failed,should fail,fail,C,Fill in the correct tense.
20,1.7,Tense,Maria said that she would go home  _______ .,tomorrow,yesterday,the previous day,the next day,D,Fill in the correct tense.
21,1.7,Tense,They told us that man _______ a social animal.,is,was,had been,will be,A,Fill in the correct tense.
22,1.7,Tense,The little girl confessed that she _______ the glass. ,broke,had broken,breaks,will break,B,Fill in the correct tense.
23,1.7,Tense,"When I _______ my bath, I went to have a sleep.",had taken,took,have taken,take,A,Fill in the correct tense.
24,1.7,Tense,The child _______ any food until he has remembered his lesson.,would not get,will not get,gets ,had got,B,Fill in the correct tense.
0,1.2,Synonym,Tirade,Trade,Praise,Applause,Rant,D,Select the synonym
1,1.2,Synonym,Proficient,Adept,Pupil,Reliable,Prominent,A,Select the synonym
2,1.2,Synonym,Admonish,Irritate,Chide,Displease,Annoy,B,Select the synonym
3,1.2,Synonym,Peril,Danger,Roughness,Insecurity,Anger,A,Select the synonym
4,1.2,Synonym,Affluent,Blossom,Flourish,Prosperous,Thrive,C,Select the synonym
5,1.2,Synonym,August,Common,Ridiculous,Dignified,Petty,C,Select the synonym
6,1.2,Synonym,Garnish,Honour,Respect,Obey,Adorn,D,Select the synonym
7,1.2,Synonym,Abandon,Excuse,Forsake,Urge,Risk,B,Select the synonym
8,1.2,Synonym,Odious,Hateful,Rotten,Infamous,Sick,A,Select the synonym
9,1.2,Synonym,Scintillating,Moving,Interesting,Burning,Glittering,D,Select the synonym
10,1.2,Synonym,Transient,Fleeting,Transparent,Feeble,Fanciful,A,Select the synonym
11,1.2,Synonym,Voracious,Hungry,Hasty,Thirsty,Greedy,D,Select the synonym
12,1.2,Synonym,Tepid,Hot,Warm,Cold,Boiling,B,Select the synonym
13,1.2,Synonym,Canny,Obstinate,Proud,Stout,Clever,D,Select the synonym
14,1.2,Synonym,Humane,Sympathetic,Spirit,Straight,Source,A,Select the synonym
15,1.2,Synonym,Honest,Authentic,Upright,Direct,Actual,B,Select the synonym
16,1.2,Synonym,Vocation,Examination,Seminar,Occupation,Holiday,C,Select the synonym
17,1.2,Synonym,Cantankerous,Noisy,Quarrelsome,Rash,Disrespectful,B,Select the synonym
18,1.2,Synonym,Credible,Charming,Serious,Believable,Worthy,C,Select the synonym
19,1.2,Synonym,Extricate,Free,Tie,Complicate,Pull,A,Select the synonym
20,1.2,Synonym,Obstreperous,Unruly,Lazy,Awkward,Sullen,A,Select the synonym
21,1.2,Synonym,Logical,Responsive,Rational,Educated,Improper,B,Select the synonym
22,1.2,Synonym,Delusion,Illumination,Illusion,Ascension,Reality,B,Select the synonym
23,1.2,Synonym,Mastery,Mystery,Weighty,Authority,Weakness,C,Select the synonym
24,1.2,Synonym,Abnormal,Unnatural,Aggressive,Unique,Informal,A,Select the synonym
25,1.2,Synonym,Venal,Corrupt,Comprehensible,Legible,Forgivable,A,Select the synonym
26,1.2,Synonym,Conjurer,Magician,Jester,Performer,Trickster,A,Select the synonym
27,1.2,Synonym,Invoice,Word,Sound,Statement,Language,C,Select the synonym
28,1.2,Synonym,Ameliorate,Improve,Degrade,Motivate,Agree,A,Select the synonym
29,1.2,Synonym,Conciliatory,Foolish,Soothing,Advisory,Cordial,B,Select the synonym
30,1.2,Synonym,Insidious,Honest,Deceitful,Angry,Insane,B,Select the synonym
31,1.2,Synonym,Mundane,Normal,Ordinary,Gullible,Mandatory,B,Select the synonym
32,1.2,Synonym,Scepticism,Doubt,Bigotry,Belief,Religion,A,Select the synonym
33,1.2,Synonym,Withstand,Accept,Submit,Endure,Relinquish,C,Select the synonym
34,1.2,Synonym,Citadel,Mansion,Fortress,Palace,Metropolis,B,Select the synonym
35,1.2,Synonym,Stern,Young,Stem,Strict,Lenient,C,Select the synonym
36,1.2,Synonym,Aberration,Intensification,Deviation,Rationally,Justification,B,Select the synonym
37,1.2,Synonym,Repeated,Disputed,Elaborated,Explained,Reiterated,D,Select the synonym
38,1.2,Synonym,Revere,Condemn,Reverse,Humiliate,Respect,D,Select the synonym
39,1.2,Synonym,Erudite,Scholarly,Unlettered,Stingy,Sloopy,A,Select the synonym
40,1.2,Synonym,Hallucination,Delusion,Habitat,Dress,Deception,A,Select the synonym
41,1.2,Synonym,Salacious,Angry,Unhappy,Satisfied,Lustful,D,Select the synonym
42,1.2,Synonym,Derive,Contain,Attain,Sustain,Obtain,D,Select the synonym
43,1.2,Synonym,Insolent,The sole of a shoe,Disrespectful,Insoluble,Depreciating,B,Select the synonym
44,1.2,Synonym,Innocuous,Irresponsible,Careless,Harmless,Insufficient,C,Select the synonym
45,1.2,Synonym,Ingenuous,Clever,Innocent,Artful,Cunning,B,Select the synonym
46,1.2,Synonym,Parsimony,Expenditure,Bankruptcy,Bribery,Miserliness,D,Select the synonym
47,1.2,Synonym,Tribulation,Palpitation,Suffering,Weakness,Stimulation,B,Select the synonym
48,1.2,Synonym,ramparts,Ropway,Staircase,Parapet,Scaffold,C,Select the synonym
49,1.2,Synonym,Garrulous,Talkative,Sedative,Vocative,Positive,B,Select the synonym
50,1.2,Synonym,Tinsel,Tinkle,Decoration,Atin,Colourful,B,Select the synonym
51,1.2,Synonym,Labyrinth,Meandering,Rotating,Pacing,Wriggling,A,Select the synonym
52,1.2,Synonym,Advocate,Determine,Predict,Pronounce,Support,D,Select the synonym
53,1.2,Synonym,Preamble,Introduction,Definition,Mediation,Conclusion,A,Select the synonym
54,1.2,Synonym,Collate,Prescribe,Assemble,Describe,Narrate,B,Select the synonym
55,1.2,Synonym,Absolve,Consume,Punish,Acquit,Withheld,C,Select the synonym
56,1.2,Synonym,Ascription,Description,Account,Attribution,Cure,C,Select the synonym
57,1.2,Synonym,Toil,Test,Spoil,Work hard,Tell,C,Select the synonym
58,1.2,Synonym,Mimic,Tease,Refresh,Greet,Copy,D,Select the synonym
59,1.2,Synonym,Kiosk,Store,Shop,Booth,Mall,A,Select the synonym
60,1.2,Synonym,Wholesome,Complete,Ripe,Sound,Desirable,C,Select the synonym
61,1.2,Synonym,Infirm,Unsteady,Timid,Nervous,Weak,D,Select the synonym
62,1.2,Synonym,Cordial,Affectionate,Generous,Friendly,Kind,C,Select the synonym
63,1.2,Synonym,Sole,Only,Principal,Important,Immediate,A,Select the synonym
64,1.2,Synonym,Systematically,Scientifically,Technically,Methodically,Symmetrically,C,Select the synonym
65,1.2,Synonym,Assault,Attack,Comfort,Construct,Attach,A,Select the synonym
66,1.2,Synonym,Protrude,Lengthen,Uphold,Bulge,Attach,C,Select the synonym
67,1.2,Synonym,Accomplish,Surrender,Achieve,Forsake,Abandon,B,Select the synonym
68,1.2,Synonym,Apex,Bottom,Outward,Top,Inward,C,Select the synonym
69,1.2,Synonym,Baffle,Strike,Puzzle,Flutter,Surpass,B,Select the synonym
70,1.2,Synonym,Gaol,Destination,Garden,Jail,Bird,C,Select the synonym
71,1.2,Synonym,Loathing,Warmith,Affectation,Hatred,Affection,C,Select the synonym
72,1.2,Synonym,Pragmatic,Intelligent,Wise,Religious,Practical,D,Select the synonym
73,1.2,Synonym,Notion,Thought,Fact,Truth,Hypothesis,A,Select the synonym
74,1.2,Synonym,Vivacious,Poisonous,Energetic,Tricky,Slow,B,Select the synonym
75,1.2,Synonym,Copious,Abundant,Enjoyable,Capable,Coptable,A,Select the synonym
76,1.2,Synonym,Prerogative,Formative,Prevention,Privilege,Protective,C,Select the synonym
77,1.2,Synonym,Aggravate,Increase,Big,Angry,Intensify,D,Select the synonym
78,1.2,Synonym,Sycophants,Advisors,Flatterers,Servants,Sadists,B,Select the synonym
79,1.2,Synonym,Flout,Ignore,Refuse,Condemnation,Disregard,D,Select the synonym
80,1.2,Synonym,Fallacy,Smart move,Unfounded fear,Famous invention,Mistaken belief,D,Select the synonym
81,1.2,Synonym,Diligent,Conceited,Great,Hard working,Proud,C,Select the synonym
82,1.2,Synonym,Garnulous,Grumpy,Important,Friendly,Talkative,D,Select the synonym
83,1.2,Synonym,Zenith,Hope,Ideal,Peak,Reality,,Select the synonym
84,1.2,Synonym,Proximity,Nearness,Affinity,Prospect,Rapport,A,Select the synonym
85,1.2,Synonym,Vociferous,Violent,Loud,Secret,1,B,Select the synonym
86,1.2,Synonym,Fictional,Genuine,Authentic,Fanciful,Real,C,Select the synonym
87,1.2,Synonym,Trivial,Crucial,Significant,Vital,Ordinary,D,Select the synonym
88,1.2,Synonym,Impudent,Vigilant,Astute,Insolent,Arrogant,C,Select the synonym
89,1.2,Synonym,Pompous,Pretentious,Supportive,Demanding,Flashy,A,Select the synonym
90,1.2,Synonym,Annexure,Retirement,Commencement,Attachment,Development,C,Select the synonym
